root_rfp_id,company_name,rfp_name,bids,invites,close_at,tsm
2252,Hospital Indonesia,[Aanwijzing] Renovasi Ruang IPD - Rumah Sakit di Jakarta Barat (Aanwijzing + Site Visit 11 Maret 2026),0,100,2026-03-16T08:00:00Z,
2402,PT CHAKRA JAWARA,Tools for PT Naraya Dipta Buana Cakung,0,45,2026-03-17T02:00:00Z,
2366,PT Barata Indonesia (Persero),KEBUTUHAN PENGADAAN ELECTRICAL DAN AKSESORIES,1,148,2026-03-17T05:00:00Z,
2288,PT Barata Indonesia (Persero),KEBUTUHAN SCRAP PREMIUM FRANCO GRESIK,0,7,2026-03-17T08:00:00Z,
2393,PT Anugerah Pharmindo Lestari,Plastic Wrapping Clear,1,35,2026-03-17T09:15:00Z,
1974,Hospital Indonesia,[After Clarification] Renovasi Ruangan Rumah Sakit di Bekasi - IPD KRIS,2,41,2026-03-18T10:00:00Z,
