root_rfp_id,company_name,rfp_name,bids,invites,close_at,tsm
2252,Hospital Indonesia,[Aanwijzing] Renovasi Ruang IPD - Rumah Sakit di Jakarta Barat (Aanwijzing + Site Visit 11 Maret 2026),0,100,2026-03-16T08:00:00Z,
2366,PT Barata Indonesia (Persero),KEBUTUHAN PENGADAAN ELECTRICAL DAN AKSESORIES,1,148,2026-03-17T05:00:00Z,
2288,PT Barata Indonesia (Persero),KEBUTUHAN SCRAP PREMIUM FRANCO GRESIK,0,7,2026-03-17T08:00:00Z,
2361,PT Anugerah Pharmindo Lestari,Branch Checking Table - PT Anugerah Pharmindo Lestari,1,24,2026-03-22T16:59:00Z,
