root_rfp_id,company_name,rfp_name,bids,invites,close_at,tsm
1415,Ucell,RFI на обслуживание кондиционеров на 2 года,0,0,2026-03-16T10:00:00Z,
1400,Ucell,Предварительный квалификационный отбор (ПКО) - Система удаленного тестирования международного роуминга,2,0,2026-03-16T10:00:00Z,
1417,Ucell,"Запрос цен на услуги по ""Организация юбилейного мероприятия к 30 летию компании UCELL""",0,0,2026-03-19T10:00:00Z,
1432,Ucell,"ПКО на закупку ""Мебель для руководителей"" из Китая",0,0,2026-03-19T10:00:00Z,
1411,Ucell,"«Производство, поставка, монтаж и демонтаж наружной рекламной продукции» (рамочный договор, 12 месяцев)",1,0,2026-03-20T11:30:00Z,
